date,state,daily,blood_a,blood_b,blood_ab,blood_o,donations_new,donations_regular,donations_irregular,spike_flag,is_holiday,is_weekend,days_to_holiday,regular_ratio,7dayave_regular,30dayave_new,predicted_daily
2025-04-01,Johor,13,3,2,1,7,1,8,4,none,1,0,0.0,0.57,47.0,17.97,72.573166
2025-04-02,Johor,67,13,22,3,29,9,50,8,none,0,0,66.0,0.74,41.0,17.33,47.11661
2025-04-03,Johor,121,35,33,11,42,10,93,18,none,0,0,65.0,0.76,39.57,17.03,45.30705
2025-04-04,Johor,70,14,22,4,30,8,56,6,none,0,0,64.0,0.79,45.57,16.63,46.242237
2025-04-05,Johor,183,40,50,8,85,37,118,28,none,0,1,63.0,0.64,47.0,16.67,123.829414
2025-04-06,Johor,270,72,53,15,130,35,205,30,none,0,1,62.0,0.76,53.43,17.63,160.71382
2025-04-07,Johor,79,21,17,7,34,7,61,11,none,0,0,61.0,0.76,75.71,18.27,75.49674
2025-04-08,Johor,158,24,54,10,70,33,107,18,none,0,0,60.0,0.67,84.43,17.63,104.27428
2025-04-09,Johor,97,22,30,2,43,9,75,13,none,0,0,59.0,0.77,98.57,17.3,82.51897
2025-04-10,Johor,125,34,41,6,44,40,46,39,none,0,0,58.0,0.37,102.14,17.3,135.4699
2025-04-11,Johor,47,13,9,1,24,2,37,8,none,0,0,57.0,0.77,95.43,17.5,81.81388
2025-04-12,Johor,132,39,14,11,68,35,76,21,none,0,1,56.0,0.57,92.71,17.0,191.31668
2025-04-13,Johor,268,82,78,14,94,37,198,33,none,0,1,55.0,0.74,86.71,18.07,219.6845
2025-04-14,Johor,87,23,30,1,33,13,66,8,none,0,0,54.0,0.75,85.71,19.2,74.63241
2025-04-15,Johor,135,34,36,10,55,21,93,21,none,0,0,53.0,0.68,86.43,18.7,91.926735
2025-04-16,Johor,101,25,20,7,49,11,75,15,none,0,0,52.0,0.74,84.43,18.5,75.03046
2025-04-17,Johor,136,35,35,9,57,15,107,14,none,0,0,51.0,0.78,84.43,18.7,68.1005
2025-04-18,Johor,56,11,15,3,27,6,41,9,none,0,0,50.0,0.72,93.14,18.1,81.706154
2025-04-19,Johor,212,49,49,21,93,45,136,31,none,0,1,49.0,0.64,93.71,17.93,203.17671
2025-04-20,Johor,204,61,55,8,80,19,146,39,none,0,1,48.0,0.71,102.29,19.33,220.02905
2025-04-21,Johor,77,8,24,4,41,14,50,13,none,0,0,47.0,0.64,94.86,19.6,96.63083
2025-04-22,Johor,94,20,20,7,47,18,60,16,none,0,0,46.0,0.63,92.57,19.43,96.63083
2025-04-23,Johor,133,31,38,5,59,60,50,23,none,0,0,45.0,0.37,87.86,18.5,118.62092
2025-04-24,Johor,83,21,32,2,28,36,31,16,none,0,0,44.0,0.37,84.29,19.7,119.864365
2025-04-25,Johor,66,17,18,7,24,10,47,9,none,0,0,43.0,0.7,73.43,20.03,86.48396
2025-04-26,Johor,193,43,57,19,74,85,67,41,none,0,1,42.0,0.35,74.29,19.93,161.47733
2025-04-27,Johor,287,80,64,13,130,47,199,41,normal_spike,0,1,41.0,0.69,64.43,22.4,205.06744
2025-04-28,Johor,112,26,18,4,64,20,77,15,none,0,0,40.0,0.68,72.0,23.87,90.45508
2025-04-29,Johor,119,27,41,4,47,31,60,28,none,0,0,39.0,0.5,75.86,23.1,110.71091
2025-04-30,Johor,100,19,33,6,42,36,57,7,none,0,0,38.0,0.56,75.86,23.8,108.21764
2025-05-01,Johor,208,40,60,18,90,49,121,38,none,0,0,37.0,0.58,76.86,25.0,107.38659
2025-05-02,Johor,59,21,13,3,22,4,46,9,none,0,0,36.0,0.77,89.71,26.6,67.97587
2025-05-03,Johor,134,32,28,6,68,29,80,25,none,0,1,35.0,0.59,89.57,26.43,198.60265
2025-05-04,Johor,217,47,49,16,105,29,150,38,none,0,1,34.0,0.69,91.43,27.07,230.93327
2025-05-05,Johor,140,28,36,16,60,49,66,25,none,0,0,33.0,0.47,84.43,27.77,114.29265
2025-05-06,Johor,113,29,34,15,35,34,65,14,none,0,0,32.0,0.57,82.86,28.17,106.66593
2025-05-07,Johor,112,24,34,8,46,15,80,17,none,0,0,31.0,0.71,83.57,28.13,83.13268
2025-05-08,Johor,205,55,56,15,79,60,94,51,none,0,0,30.0,0.46,86.86,28.4,112.52762
2025-05-09,Johor,62,11,12,6,33,3,51,8,none,0,0,29.0,0.81,83.0,29.3,58.9857
2025-05-10,Johor,169,44,32,8,85,26,108,35,none,0,1,28.0,0.64,83.71,29.1,206.68965
2025-05-11,Johor,302,67,96,17,122,42,207,53,normal_spike,0,1,27.0,0.68,87.71,28.63,221.89429
2025-05-12,Johor,179,37,48,12,82,34,99,46,none,0,0,26.0,0.55,95.86,29.97,107.74474
2025-05-13,Johor,100,25,33,3,39,26,53,21,none,0,0,25.0,0.52,100.57,29.93,111.87678
2025-05-14,Johor,92,17,25,3,47,21,55,16,none,0,0,24.0,0.59,98.86,29.57,106.44074
2025-05-15,Johor,114,27,35,4,48,18,79,17,none,0,0,23.0,0.69,95.29,29.83,87.47076
2025-05-16,Johor,51,18,9,3,21,2,43,6,none,0,0,22.0,0.83,93.14,29.73,57.024273
2025-05-17,Johor,194,52,40,8,94,41,122,31,none,0,1,21.0,0.63,92.0,29.43,206.36009
2025-05-18,Johor,264,73,58,8,125,39,185,40,none,0,1,20.0,0.7,94.0,30.3,221.42984
2025-05-19,Johor,111,30,32,4,45,14,80,17,none,0,0,19.0,0.71,90.86,31.4,66.19316
2025-05-20,Johor,248,55,79,4,110,98,97,53,none,0,0,18.0,0.39,88.14,30.37,119.53324
2025-05-21,Johor,159,42,40,4,73,36,102,21,none,0,0,17.0,0.64,94.43,33.0,93.9197
2025-05-22,Johor,170,39,40,8,83,65,82,23,none,0,0,16.0,0.48,101.14,33.73,123.07977
2025-05-23,Johor,27,4,11,1,11,0,25,2,none,0,0,15.0,0.89,101.57,35.3,31.82766
2025-05-24,Johor,208,51,55,16,86,29,134,45,none,0,1,14.0,0.64,99.0,33.3,227.99615
2025-05-25,Johor,231,60,50,10,111,40,140,51,none,0,1,13.0,0.6,100.71,33.07,217.21123
2025-05-26,Johor,66,14,21,2,29,12,38,16,none,0,0,12.0,0.57,94.29,34.07,107.22431
2025-05-27,Johor,103,20,29,8,46,27,61,15,none,0,0,11.0,0.59,88.29,31.63,107.22431
2025-05-28,Johor,57,11,22,2,22,8,39,10,none,0,0,10.0,0.67,83.14,30.97,85.5318
2025-05-29,Johor,116,25,29,6,56,16,90,10,none,0,0,9.0,0.77,74.14,30.57,64.10366
2025-05-30,Johor,50,16,13,3,18,2,42,6,none,0,0,8.0,0.82,75.29,30.07,53.57024
2025-05-31,Johor,118,31,44,8,35,21,72,25,none,0,1,7.0,0.61,77.71,28.93,188.69229
2025-06-01,Johor,285,66,74,13,132,54,176,55,normal_spike,0,1,6.0,0.62,68.86,28.0,203.25089
2025-06-02,Johor,195,46,48,6,95,30,134,31,none,0,0,5.0,0.68,74.0,29.67,87.331436
2025-06-03,Johor,117,25,31,9,52,30,70,17,none,0,0,4.0,0.59,87.71,29.7,106.43516
2025-06-04,Johor,67,18,20,3,26,15,45,7,none,0,0,3.0,0.66,89.0,29.73,96.95754
2025-06-05,Johor,111,17,31,7,56,42,53,16,none,0,0,2.0,0.47,89.86,28.6,103.5061
2025-06-06,Johor,46,9,11,4,22,5,32,9,none,0,0,1.0,0.68,84.57,28.87,88.886665
2025-06-07,Johor,0,0,0,0,0,0,0,0,none,1,1,0.0,0.0,83.14,28.53,-2.1197996
2025-06-08,Johor,121,40,27,8,46,18,83,20,none,0,1,134.0,0.68,72.86,26.53,197.20694
2025-06-09,Johor,112,25,33,7,47,16,75,21,none,0,0,133.0,0.66,59.57,27.03,90.458626
2025-06-10,Johor,133,37,36,5,55,42,64,27,none,0,0,132.0,0.48,51.14,26.7,101.92393
2025-06-11,Johor,162,28,47,12,75,57,78,27,none,0,0,131.0,0.48,50.29,26.7,100.5462
2025-06-12,Johor,172,41,41,5,85,61,86,25,none,0,0,130.0,0.5,55.0,27.47,109.70717
2025-06-13,Johor,104,18,27,7,52,14,77,13,none,0,0,129.0,0.73,59.71,28.63,73.09157
2025-06-14,Johor,215,43,57,16,99,30,152,33,none,0,1,128.0,0.7,66.14,28.4,223.05768
2025-06-15,Johor,331,75,103,17,136,50,219,62,normal_spike,0,1,127.0,0.66,87.86,28.8,228.00432
2025-06-16,Johor,128,32,37,5,54,33,79,16,none,0,0,126.0,0.61,107.29,30.4,94.710464
2025-06-17,Johor,56,11,15,0,30,6,46,4,none,0,0,125.0,0.81,107.86,30.13,58.771698
2025-06-18,Johor,100,16,35,3,46,18,51,31,none,0,0,124.0,0.5,105.29,29.03,113.981834
2025-06-19,Johor,159,41,37,6,75,40,91,28,none,0,0,123.0,0.57,101.43,29.17,104.361595
2025-06-20,Johor,18,5,4,2,7,1,15,2,none,0,0,122.0,0.79,102.14,27.23,58.771698
2025-06-21,Johor,113,30,37,5,41,18,72,23,none,0,1,121.0,0.63,93.29,26.07,203.97726
2025-06-22,Johor,110,27,26,5,52,19,76,15,none,0,1,120.0,0.68,81.86,24.5,218.06946
2025-06-23,Johor,61,18,13,2,28,10,47,4,none,0,0,119.0,0.76,61.43,25.13,58.281578
2025-06-24,Johor,89,24,25,3,37,37,34,18,none,0,0,118.0,0.38,56.86,24.5,100.78684
2025-06-25,Johor,74,12,20,3,39,12,53,9,none,0,0,117.0,0.71,55.14,24.4,60.98057
2025-06-26,Johor,137,29,37,9,62,23,97,17,none,0,0,116.0,0.7,55.43,24.4,72.33178
2025-06-27,Johor,45,8,10,1,26,6,32,7,none,0,0,115.0,0.7,56.29,24.27,72.33178
2025-06-28,Johor,204,56,52,12,84,41,124,39,none,0,1,114.0,0.6,58.71,24.2,166.39668
2025-06-29,Johor,297,67,76,11,143,43,215,39,normal_spike,0,1,113.0,0.72,66.14,25.03,207.27048
2025-06-30,Johor,126,32,32,9,53,26,75,25,none,0,0,112.0,0.59,86.0,26.4,106.52181
2025-07-01,Johor,111,26,33,8,44,22,60,29,none,0,0,111.0,0.54,90.0,26.57,109.40208
2025-07-02,Johor,54,8,14,1,31,6,38,10,none,0,0,110.0,0.69,93.71,25.5,91.71759
2025-07-03,Johor,146,40,34,11,61,31,89,26,none,0,0,109.0,0.61,91.57,24.7,98.934296
2025-07-04,Johor,54,20,11,2,21,7,40,7,none,0,0,108.0,0.73,90.43,24.73,76.96493
2025-07-05,Johor,129,27,39,5,58,19,79,31,none,0,1,107.0,0.61,91.57,24.47,189.31442
2025-07-06,Johor,191,39,61,9,82,38,108,45,none,0,1,106.0,0.56,85.14,23.7,177.41063
2025-07-07,Johor,109,29,26,7,47,38,60,11,none,0,0,105.0,0.55,69.86,24.8,102.297295
2025-07-08,Johor,126,27,39,5,55,27,80,19,none,0,0,104.0,0.63,67.71,26.07,87.85083
2025-07-09,Johor,137,29,37,10,61,20,102,15,none,0,0,103.0,0.74,70.57,26.37,69.18896
2025-07-10,Johor,145,27,32,11,75,40,71,34,none,0,0,102.0,0.49,79.71,26.5,116.55469
2025-07-11,Johor,70,15,22,5,28,8,58,4,none,0,0,101.0,0.82,77.14,26.43,55.479748
2025-07-12,Johor,172,34,49,10,79,42,98,32,none,0,1,100.0,0.57,79.71,24.8,172.0177
2025-07-13,Johor,247,49,73,15,110,44,169,34,none,0,1,99.0,0.68,82.43,24.17,219.60251
2025-07-14,Johor,114,19,38,6,51,25,65,24,none,0,0,98.0,0.57,91.14,25.17,111.566124
2025-07-15,Johor,137,34,42,6,55,28,79,30,none,0,0,97.0,0.57,91.86,25.0,111.07309
2025-07-16,Johor,155,42,39,9,65,36,82,37,none,0,0,96.0,0.53,91.71,24.27,111.25686
2025-07-17,Johor,171,37,50,6,78,24,122,25,none,0,0,95.0,0.71,88.86,24.37,87.28165
2025-07-18,Johor,58,18,14,1,25,5,49,4,none,0,0,94.0,0.83,96.14,24.97,63.500534
2025-07-19,Johor,202,46,61,12,83,28,133,41,none,0,1,93.0,0.66,94.86,24.53,218.07405
2025-07-20,Johor,263,69,69,15,110,43,180,40,none,0,1,92.0,0.68,99.86,24.13,209.27177
2025-07-21,Johor,93,17,40,1,35,18,59,16,none,0,0,91.0,0.63,101.43,25.53,97.14368
2025-07-22,Johor,113,24,33,3,53,27,68,18,none,0,0,90.0,0.6,100.57,25.53,108.07528
2025-07-23,Johor,111,27,28,1,55,20,62,29,none,0,0,89.0,0.55,99.0,25.8,119.90209
2025-07-24,Johor,173,50,47,7,69,62,87,24,none,0,0,88.0,0.5,96.14,26.13,111.5029
2025-07-25,Johor,21,7,6,2,6,0,19,2,none,0,0,87.0,0.86,91.14,26.97,61.228447
2025-07-26,Johor,64,18,25,0,21,16,30,18,none,0,1,86.0,0.46,86.86,26.57,184.90231
2025-07-27,Johor,196,47,49,11,89,24,150,22,none,0,1,85.0,0.76,72.14,26.33,213.53117
2025-07-28,Johor,72,17,12,4,39,11,43,18,none,0,0,84.0,0.59,67.86,26.93,105.27432
2025-07-29,Johor,145,30,36,8,71,29,95,21,none,0,0,83.0,0.65,65.57,25.93,90.51011
2025-07-30,Johor,67,19,12,6,30,36,23,8,none,0,0,82.0,0.34,69.43,25.47,114.71978
2025-07-31,Johor,50,15,12,1,22,15,24,11,none,0,0,81.0,0.47,63.86,25.8,103.52297
2025-08-01,Johor,78,20,25,5,28,11,60,7,none,0,0,80.0,0.76,54.86,25.57,52.68212
2025-08-02,Johor,126,31,31,2,62,18,90,18,none,0,1,79.0,0.71,60.71,25.73,199.14465
2025-08-03,Johor,277,64,64,14,135,34,206,37,none,0,1,78.0,0.74,69.29,25.3,207.5608
2025-08-04,Johor,108,21,30,6,51,29,39,40,none,0,0,77.0,0.36,77.29,26.2,117.54062
2025-08-05,Johor,135,25,47,4,59,40,62,33,none,0,0,76.0,0.46,76.71,26.53,115.25244
2025-08-06,Johor,96,25,27,5,39,24,58,14,none,0,0,75.0,0.6,72.0,26.6,94.014244
2025-08-07,Johor,117,23,30,9,55,17,84,16,none,0,0,74.0,0.71,77.0,26.13,88.222824
2025-08-08,Johor,53,16,13,1,23,5,38,10,none,0,0,73.0,0.7,85.57,25.8,101.663246
2025-08-09,Johor,119,44,29,2,44,20,86,13,none,0,1,72.0,0.72,82.43,25.3,220.7891
2025-08-10,Johor,269,64,84,14,107,55,175,39,none,0,1,71.0,0.65,81.86,24.63,217.88675
2025-08-11,Johor,184,53,46,9,76,49,91,44,none,0,0,70.0,0.49,77.43,26.2,111.9973
2025-08-12,Johor,120,34,36,5,45,26,79,15,none,0,0,69.0,0.65,84.86,26.43,94.93321
2025-08-13,Johor,90,26,24,3,37,20,48,22,none,0,0,68.0,0.53,87.29,25.83,111.73672
2025-08-14,Johor,112,25,26,4,57,28,55,29,none,0,0,67.0,0.49,85.86,25.67,115.710014
2025-08-15,Johor,85,23,21,2,39,23,50,12,none,0,0,66.0,0.58,81.71,25.67,111.73672
2025-08-16,Johor,169,45,47,12,65,36,95,38,none,0,1,65.0,0.56,83.43,25.23,181.86865
2025-08-17,Johor,271,65,76,11,119,44,185,42,none,0,1,64.0,0.68,84.71,25.63,232.8964
2025-08-18,Johor,74,24,13,5,32,14,51,9,none,0,0,63.0,0.68,86.14,26.93,104.01609
2025-08-19,Johor,121,33,28,8,52,22,71,28,none,0,0,62.0,0.58,80.43,26.47,121.007225
2025-08-20,Johor,109,26,28,6,49,13,82,14,none,0,0,61.0,0.75,79.29,25.77,78.589066
2025-08-21,Johor,128,22,33,14,59,26,76,26,none,0,0,60.0,0.59,84.14,25.6,123.70912
2025-08-22,Johor,29,8,7,1,13,4,23,2,none,0,0,59.0,0.77,87.14,25.57,83.95112
2025-08-23,Johor,127,24,26,13,64,35,66,26,none,0,1,58.0,0.52,83.29,25.03,186.15585
2025-08-24,Johor,201,38,55,13,95,34,137,30,none,0,1,57.0,0.68,79.14,24.13,213.79826
2025-08-25,Johor,9,1,3,0,5,0,7,2,none,0,0,56.0,0.7,72.29,25.27,94.74459
2025-08-26,Johor,130,30,36,7,57,43,55,32,none,0,0,55.0,0.42,66.0,24.73,107.261284
2025-08-27,Johor,98,20,20,9,49,31,59,8,none,0,0,54.0,0.6,63.71,25.37,87.8851
2025-08-28,Johor,130,31,45,7,47,41,68,21,none,0,0,53.0,0.52,60.43,26.03,97.88109
2025-08-29,Johor,52,13,11,3,25,5,41,6,none,0,0,52.0,0.77,59.29,26.43,58.531532
2025-08-30,Johor,147,36,47,8,56,26,94,27,none,0,1,51.0,0.64,61.86,25.4,181.21616
2025-08-31,Johor,243,61,74,12,96,35,169,39,none,0,1,50.0,0.69,65.86,25.77,208.03539
2025-09-01,Johor,54,7,20,3,24,4,45,5,none,0,0,49.0,0.82,70.43,26.57,53.68267
2025-09-02,Johor,135,37,37,8,53,34,74,27,none,0,0,48.0,0.54,75.86,26.1,108.31625
2025-09-03,Johor,65,17,21,2,25,15,33,17,none,0,0,47.0,0.5,78.57,26.1,107.978615
2025-09-04,Johor,146,40,42,8,56,24,100,22,none,0,0,46.0,0.68,74.86,25.63,91.32512
2025-09-05,Johor,42,9,6,4,23,6,27,9,none,0,0,45.0,0.63,79.43,25.1,93.87701
2025-09-06,Johor,115,25,25,7,58,19,76,20,none,0,1,44.0,0.66,77.43,24.5,209.2088
2025-09-07,Johor,217,58,47,8,104,31,158,28,none,0,1,43.0,0.72,74.86,24.57,210.427
2025-09-08,Johor,143,33,47,6,57,30,89,24,none,0,0,42.0,0.62,73.29,25.43,90.65609
2025-09-09,Johor,10,1,2,0,7,0,9,1,none,0,0,41.0,0.82,79.57,25.77,56.88994
2025-09-10,Johor,129,33,29,12,55,55,70,4,none,0,0,40.0,0.54,70.29,23.93,107.79107
2025-09-11,Johor,103,27,22,7,47,18,62,23,none,0,0,39.0,0.6,75.57,24.13,101.35364
