date,state,daily,blood_a,blood_b,blood_ab,blood_o,donations_new,donations_regular,donations_irregular,spike_flag,is_holiday,is_weekend,days_to_holiday,regular_ratio,7dayave_regular,30dayave_new
2023-04-01,Johor,179,43,39,6,91,36,106,37,none,0,1,21.0,0.59,33.0,30.1
2023-04-02,Johor,169,42,33,8,86,29,127,13,none,0,1,20.0,0.75,46.14,31.2
2023-04-03,Johor,63,18,15,4,26,14,42,7,none,0,0,19.0,0.66,54.43,32.0
2023-04-04,Johor,66,11,26,4,25,7,45,14,none,0,0,18.0,0.67,57.0,30.77
2023-04-05,Johor,50,11,9,4,26,8,34,8,none,0,0,17.0,0.67,58.71,29.07
2023-04-06,Johor,78,16,18,8,36,8,61,9,none,0,0,16.0,0.77,59.0,27.97
2023-04-07,Johor,48,8,16,2,22,13,22,13,none,0,0,15.0,0.45,60.57,27.43
2023-04-08,Johor,122,28,35,4,55,42,55,25,none,0,1,14.0,0.45,62.43,27.33
2023-04-09,Johor,249,58,53,11,127,40,158,51,none,0,1,13.0,0.63,55.14,26.6
2023-04-10,Johor,64,23,15,5,21,17,38,9,none,0,0,12.0,0.58,59.57,27.73
2023-04-11,Johor,74,17,18,3,36,12,48,14,none,0,0,11.0,0.64,59.0,26.5
2023-04-12,Johor,69,15,15,3,36,10,50,9,none,0,0,10.0,0.71,59.43,24.6
2023-04-13,Johor,61,16,18,4,23,8,46,7,none,0,0,9.0,0.74,61.71,22.4
2023-04-14,Johor,43,15,9,3,16,21,16,6,none,0,0,8.0,0.36,59.57,20.97
2023-04-15,Johor,94,26,22,6,40,22,50,22,none,0,1,7.0,0.53,58.71,20.53
2023-04-16,Johor,260,58,66,12,124,37,179,44,none,0,1,6.0,0.69,58.0,19.53
2023-04-17,Johor,112,28,24,6,54,33,55,24,none,0,0,5.0,0.49,61.0,20.2
2023-04-18,Johor,64,12,16,2,34,15,37,12,none,0,0,4.0,0.57,63.43,20.03
2023-04-19,Johor,82,25,30,3,24,15,49,18,none,0,0,3.0,0.59,61.86,18.9
2023-04-20,Johor,87,19,27,6,35,22,54,11,none,0,0,2.0,0.61,61.71,17.8
2023-04-21,Johor,21,1,4,2,14,4,15,2,none,0,0,1.0,0.68,62.86,18.27
2023-04-22,Johor,0,0,0,0,0,0,0,0,none,1,1,0.0,0.0,62.71,17.53
2023-04-23,Johor,0,0,0,0,0,0,0,0,none,1,1,0.0,0.0,55.57,16.77
2023-04-24,Johor,54,14,10,2,28,10,38,6,none,0,0,66.0,0.69,30.0,16.77
2023-04-25,Johor,106,19,33,4,50,26,62,18,none,0,0,65.0,0.58,27.57,16.77
2023-04-26,Johor,122,23,31,8,60,29,68,25,none,0,0,64.0,0.55,31.14,16.73
2023-04-27,Johor,115,33,26,5,51,15,75,25,none,0,0,63.0,0.65,33.86,17.53
2023-04-28,Johor,0,0,0,0,0,0,0,0,none,0,0,62.0,0.0,36.86,17.97
2023-04-29,Johor,122,41,21,8,52,37,46,39,none,0,1,61.0,0.37,34.71,17.7
2023-04-30,Johor,297,69,82,11,135,50,198,49,normal_spike,0,1,60.0,0.66,41.29,17.7
2023-05-01,Johor,179,43,41,13,82,29,115,35,none,0,0,59.0,0.64,69.57,19.33
2023-05-02,Johor,73,17,20,4,32,18,32,23,none,0,0,58.0,0.43,80.57,19.1
2023-05-03,Johor,69,20,22,6,21,18,38,13,none,0,0,57.0,0.54,76.29,18.73
2023-05-04,Johor,165,47,37,7,74,45,81,39,none,0,0,56.0,0.49,72.0,18.87
2023-05-05,Johor,40,12,11,1,16,8,28,4,none,0,0,55.0,0.68,72.86,20.13
2023-05-06,Johor,188,50,40,18,80,46,104,38,none,0,1,54.0,0.55,76.86,20.13
2023-05-07,Johor,388,99,101,17,171,63,249,76,normal_spike,0,1,53.0,0.64,85.14,21.4
2023-05-08,Johor,106,27,23,7,49,17,49,40,none,0,0,52.0,0.46,92.43,23.07
2023-05-09,Johor,124,33,40,6,45,43,59,22,none,0,0,51.0,0.47,83.0,22.23
2023-05-10,Johor,107,24,21,2,60,35,50,22,none,0,0,50.0,0.46,86.86,22.33
2023-05-11,Johor,152,40,41,6,65,40,89,23,none,0,0,49.0,0.58,88.57,22.93
2023-05-12,Johor,39,10,12,1,16,11,20,8,none,0,0,48.0,0.5,89.71,23.87
2023-05-13,Johor,174,40,55,11,68,54,89,31,none,0,1,47.0,0.51,88.57,23.9
2023-05-14,Johor,331,81,81,19,150,58,207,66,normal_spike,0,1,46.0,0.62,86.43,25.43
2023-05-15,Johor,64,26,13,1,24,11,46,7,none,0,0,45.0,0.71,80.43,26.67
2023-05-16,Johor,134,31,34,6,63,39,68,27,none,0,0,44.0,0.5,80.0,26.3
2023-05-17,Johor,179,50,45,13,71,55,84,40,none,0,0,43.0,0.47,81.29,26.37
2023-05-18,Johor,54,17,20,3,14,10,38,6,none,0,0,42.0,0.69,86.14,27.1
2023-05-19,Johor,34,12,9,0,13,9,23,2,none,0,0,41.0,0.66,78.86,26.93
2023-05-20,Johor,244,57,62,13,112,38,152,54,none,0,1,40.0,0.62,79.29,26.73
2023-05-21,Johor,343,91,94,17,141,51,221,71,normal_spike,0,1,39.0,0.64,88.29,27.27
2023-05-22,Johor,130,28,45,4,53,23,79,28,none,0,0,38.0,0.6,90.29,28.83
2023-05-23,Johor,115,26,36,7,46,29,59,27,none,0,0,37.0,0.51,95.0,29.6
2023-05-24,Johor,111,27,32,5,47,28,59,24,none,0,0,36.0,0.53,93.71,30.57
2023-05-25,Johor,94,25,24,3,42,35,45,14,none,0,0,35.0,0.47,90.14,31.17
2023-05-26,Johor,48,12,9,3,24,10,29,9,none,0,0,34.0,0.59,91.14,31.47
2023-05-27,Johor,145,39,35,10,61,37,86,22,none,0,1,33.0,0.59,92.0,30.83
2023-05-28,Johor,268,60,76,17,115,41,182,45,none,0,1,32.0,0.68,82.57,31.57
2023-05-29,Johor,83,24,27,3,29,25,43,15,none,0,0,31.0,0.51,77.0,32.93
2023-05-30,Johor,133,30,38,11,54,47,50,36,none,0,0,30.0,0.37,71.86,32.53
2023-05-31,Johor,85,19,16,6,44,33,34,18,none,0,0,29.0,0.4,70.57,32.43
2023-06-01,Johor,74,14,24,4,32,10,44,20,none,0,0,28.0,0.59,67.0,32.57
2023-06-02,Johor,38,11,10,0,17,5,27,6,none,0,0,27.0,0.69,66.86,32.3
2023-06-03,Johor,105,21,29,5,50,27,58,20,none,0,1,26.0,0.55,66.57,31.87
2023-06-04,Johor,340,89,77,20,154,60,228,52,normal_spike,0,1,25.0,0.67,62.57,31.27
2023-06-05,Johor,258,61,70,12,115,46,164,48,none,0,0,24.0,0.63,69.14,33.0
2023-06-06,Johor,115,35,27,5,48,25,72,18,none,0,0,23.0,0.62,86.43,33.0
2023-06-07,Johor,92,23,19,5,45,37,29,26,none,0,0,22.0,0.31,89.57,31.73
2023-06-08,Johor,103,31,24,3,45,32,50,21,none,0,0,21.0,0.48,88.86,32.4
2023-06-09,Johor,20,7,2,0,11,5,13,2,none,0,0,20.0,0.62,89.71,32.03
2023-06-10,Johor,174,40,48,13,73,46,91,37,none,0,1,19.0,0.52,87.71,31.03
2023-06-11,Johor,358,95,89,21,153,66,250,42,normal_spike,0,1,18.0,0.7,92.43,31.23
2023-06-12,Johor,107,20,34,5,48,34,55,18,none,0,0,17.0,0.51,95.57,33.07
2023-06-13,Johor,91,21,26,5,39,32,48,11,none,0,0,16.0,0.52,80.0,32.4
2023-06-14,Johor,216,55,63,13,85,33,137,46,none,0,0,15.0,0.63,76.57,31.53
2023-06-15,Johor,117,24,32,4,57,31,63,23,none,0,0,14.0,0.53,92.0,32.27
2023-06-16,Johor,34,4,11,2,17,9,18,7,none,0,0,13.0,0.51,93.86,32.0
2023-06-17,Johor,200,53,48,10,89,43,110,47,none,0,1,12.0,0.55,94.57,30.47
2023-06-18,Johor,331,63,84,22,162,67,197,67,normal_spike,0,1,11.0,0.59,97.29,31.57
2023-06-19,Johor,96,27,27,5,37,18,62,16,none,0,0,10.0,0.64,89.71,33.5
2023-06-20,Johor,94,19,38,0,37,13,64,17,none,0,0,9.0,0.67,90.71,32.83
2023-06-21,Johor,97,21,34,1,41,25,54,18,none,0,0,8.0,0.55,93.0,31.57
2023-06-22,Johor,100,27,21,2,50,23,57,20,none,0,0,7.0,0.56,81.14,31.63
2023-06-23,Johor,0,0,0,0,0,0,0,0,none,0,0,6.0,0.0,80.29,31.43
2023-06-24,Johor,155,40,33,6,76,34,85,36,none,0,1,5.0,0.54,77.71,30.5
2023-06-25,Johor,191,39,59,3,90,35,135,21,none,0,1,4.0,0.7,74.14,30.47
2023-06-26,Johor,132,31,33,4,64,33,74,25,none,0,0,3.0,0.56,65.29,31.3
2023-06-27,Johor,50,18,14,0,18,3,39,8,none,0,0,2.0,0.76,67.0,31.17
2023-06-28,Johor,36,10,5,3,18,1,31,4,none,0,0,1.0,0.84,63.43,29.9
2023-06-29,Johor,0,0,0,0,0,0,0,0,none,1,0,0.0,0.0,60.14,29.1
2023-06-30,Johor,33,4,10,0,19,7,20,6,none,0,0,135.0,0.59,52.0,27.53
2023-07-01,Johor,176,41,51,7,77,45,95,36,none,0,1,134.0,0.54,54.86,26.67
2023-07-02,Johor,322,92,74,14,142,51,218,53,normal_spike,0,1,133.0,0.67,56.29,27.83
2023-07-03,Johor,77,23,22,4,28,18,49,10,none,0,0,132.0,0.63,68.14,29.37
2023-07-04,Johor,97,20,30,1,46,31,42,24,none,0,0,131.0,0.43,64.57,29.07
2023-07-05,Johor,126,27,41,2,56,29,60,37,none,0,0,130.0,0.47,65.0,28.1
2023-07-06,Johor,95,26,28,4,37,18,54,23,none,0,0,129.0,0.56,69.14,27.53
2023-07-07,Johor,56,24,15,0,17,17,28,11,none,0,0,128.0,0.49,76.86,27.3
2023-07-08,Johor,151,37,41,2,71,39,73,39,none,0,1,127.0,0.48,78.0,26.63
2023-07-09,Johor,274,76,63,12,123,47,183,44,none,0,1,126.0,0.67,74.86,26.87
2023-07-10,Johor,120,31,28,2,59,26,63,31,none,0,0,125.0,0.52,69.86,28.27
2023-07-11,Johor,129,24,41,2,62,36,71,22,none,0,0,124.0,0.55,71.86,27.6
2023-07-12,Johor,53,11,16,3,23,6,42,5,none,0,0,123.0,0.78,76.0,26.6
2023-07-13,Johor,92,15,26,4,47,23,41,28,none,0,0,122.0,0.44,73.43,25.67
2023-07-14,Johor,47,8,9,5,25,14,21,12,none,0,0,121.0,0.44,71.57,25.37
2023-07-15,Johor,90,17,26,7,40,17,48,25,none,0,1,120.0,0.53,70.57,24.73
2023-07-16,Johor,253,62,49,16,126,45,167,41,none,0,1,119.0,0.66,67.0,24.27
2023-07-17,Johor,98,23,26,9,40,29,51,18,none,0,0,118.0,0.52,64.71,25.47
2023-07-18,Johor,99,29,26,3,41,24,47,28,none,0,0,117.0,0.47,63.0,25.0
2023-07-19,Johor,107,25,36,5,41,14,64,29,none,0,0,116.0,0.59,59.57,23.57
2023-07-20,Johor,86,20,16,4,46,20,49,17,none,0,0,115.0,0.56,62.71,23.43
2023-07-21,Johor,20,5,5,1,9,4,11,5,none,0,0,114.0,0.52,63.86,23.67
2023-07-22,Johor,144,36,38,9,61,42,66,36,none,0,1,113.0,0.46,62.43,22.97
2023-07-23,Johor,217,56,56,9,96,48,126,43,none,0,1,112.0,0.58,65.0,23.6
2023-07-24,Johor,139,30,40,14,55,25,81,33,none,0,0,111.0,0.58,59.14,25.2
2023-07-25,Johor,81,19,28,5,29,21,49,11,none,0,0,110.0,0.6,63.43,24.9
2023-07-26,Johor,85,21,20,6,38,12,55,18,none,0,0,109.0,0.64,63.71,24.43
2023-07-27,Johor,102,21,39,6,36,17,68,17,none,0,0,108.0,0.66,62.43,23.73
2023-07-28,Johor,0,0,0,0,0,0,0,0,none,0,0,107.0,0.0,65.14,24.2
2023-07-29,Johor,129,26,27,7,69,28,72,29,none,0,1,106.0,0.55,63.57,24.17
2023-07-30,Johor,184,36,56,16,76,28,127,29,none,0,1,105.0,0.69,64.43,25.1
2023-07-31,Johor,94,27,17,5,45,27,58,9,none,0,0,104.0,0.61,64.57,25.8
2023-08-01,Johor,56,16,17,1,22,7,36,13,none,0,0,103.0,0.63,61.29,25.2
2023-08-02,Johor,91,23,27,4,37,17,56,18,none,0,0,102.0,0.61,59.43,23.73
2023-08-03,Johor,23,6,5,1,11,1,21,1,none,0,0,101.0,0.88,59.57,23.7
2023-08-04,Johor,32,4,8,2,18,8,20,4,none,0,0,100.0,0.61,52.86,22.7
2023-08-05,Johor,182,43,50,14,75,38,106,38,none,0,1,99.0,0.58,55.71,22.0
2023-08-06,Johor,281,82,73,13,113,39,190,52,none,0,1,98.0,0.67,60.57,22.67
2023-08-07,Johor,97,18,29,8,42,23,64,10,none,0,0,97.0,0.65,69.57,23.4
2023-08-08,Johor,76,20,17,6,33,23,44,9,none,0,0,96.0,0.57,70.43,22.87
2023-08-09,Johor,125,18,34,9,64,21,79,25,none,0,0,95.0,0.63,71.57,22.07
2023-08-10,Johor,59,11,15,5,28,8,43,8,none,0,0,94.0,0.72,74.86,21.9
2023-08-11,Johor,64,15,15,7,27,9,44,11,none,0,0,93.0,0.68,78.0,20.97
2023-08-12,Johor,192,42,63,12,75,47,113,32,none,0,1,92.0,0.59,81.43,21.07
2023-08-13,Johor,308,73,85,8,142,36,220,52,normal_spike,0,1,91.0,0.71,82.43,21.87
2023-08-14,Johor,88,36,22,2,28,23,49,16,none,0,0,90.0,0.55,86.71,22.6
2023-08-15,Johor,114,28,34,8,44,28,39,47,none,0,0,89.0,0.34,84.57,22.8
2023-08-16,Johor,99,22,32,7,38,19,51,29,none,0,0,88.0,0.51,83.86,22.23
2023-08-17,Johor,108,27,28,6,47,20,39,49,none,0,0,87.0,0.36,79.86,21.9
2023-08-18,Johor,24,6,3,3,12,4,17,3,none,0,0,86.0,0.68,79.29,21.77
2023-08-19,Johor,193,45,51,11,86,29,132,32,none,0,1,85.0,0.68,75.43,21.43
2023-08-20,Johor,275,76,68,12,119,37,186,52,none,0,1,84.0,0.67,78.14,21.73
2023-08-21,Johor,68,16,18,3,31,11,46,11,none,0,0,83.0,0.67,73.29,22.83
2023-08-22,Johor,159,34,52,16,57,25,109,25,none,0,0,82.0,0.68,72.86,21.8
2023-08-23,Johor,155,29,50,4,72,50,73,32,none,0,0,81.0,0.47,82.86,21.03
2023-08-24,Johor,60,17,21,2,20,7,46,7,none,0,0,80.0,0.75,86.0,21.87
2023-08-25,Johor,0,0,0,0,0,0,0,0,none,0,0,79.0,0.0,87.0,21.4
2023-08-26,Johor,117,29,24,4,60,40,54,23,none,0,1,78.0,0.46,84.57,21.0
2023-08-27,Johor,243,59,67,10,107,35,168,40,none,0,1,77.0,0.69,73.43,21.77
2023-08-28,Johor,90,23,34,0,33,33,44,13,none,0,0,76.0,0.48,70.86,22.93
2023-08-29,Johor,76,21,22,1,32,31,38,7,none,0,0,75.0,0.49,70.57,23.1
2023-08-30,Johor,85,23,24,0,38,27,44,14,none,0,0,74.0,0.51,60.43,23.2
2023-08-31,Johor,105,26,25,3,51,16,75,14,none,0,0,73.0,0.71,56.29,23.2
2023-09-01,Johor,29,6,3,2,18,6,15,8,none,0,0,72.0,0.5,60.43,23.5
2023-09-02,Johor,105,26,20,3,56,27,51,27,none,0,1,71.0,0.48,62.57,23.13
2023-09-03,Johor,272,65,61,15,131,50,180,42,none,0,1,70.0,0.66,62.14,24.0
2023-09-04,Johor,55,10,15,1,29,11,40,4,none,0,0,69.0,0.71,63.86,25.4
2023-09-05,Johor,86,23,25,9,29,26,49,11,none,0,0,68.0,0.56,63.29,24.5
2023-09-06,Johor,72,23,19,2,28,19,41,12,none,0,0,67.0,0.56,64.86,24.07
2023-09-07,Johor,114,29,26,4,55,24,72,18,none,0,0,66.0,0.63,64.43,23.93
2023-09-08,Johor,62,22,14,2,24,16,29,17,none,0,0,65.0,0.46,64.0,23.97
2023-09-09,Johor,162,41,41,7,73,40,88,34,none,0,1,64.0,0.54,66.0,23.8
2023-09-10,Johor,269,62,75,13,119,41,189,39,none,0,1,63.0,0.7,71.29,24.87
2023-09-11,Johor,67,14,16,3,34,12,45,10,none,0,0,62.0,0.66,72.57,25.93
2023-09-12,Johor,85,20,18,4,43,13,54,18,none,0,0,61.0,0.63,73.29,24.77
2023-09-13,Johor,138,33,34,6,65,33,74,31,none,0,0,60.0,0.53,74.0,24.0
2023-09-14,Johor,89,21,29,7,32,9,62,18,none,0,0,59.0,0.69,78.71,24.33
2023-09-15,Johor,41,9,8,0,24,14,22,5,none,0,0,58.0,0.52,77.29,23.7
2023-09-16,Johor,211,55,56,13,87,32,150,29,none,0,1,57.0,0.71,76.29,23.53
2023-09-17,Johor,285,85,65,21,114,58,163,64,normal_spike,0,1,56.0,0.57,85.14,23.93
2023-09-18,Johor,146,38,28,10,70,16,81,49,none,0,0,55.0,0.55,81.43,25.73
2023-09-19,Johor,103,24,29,5,45,15,80,8,none,0,0,54.0,0.77,86.57,25.3
2023-09-20,Johor,114,30,29,8,47,41,48,25,none,0,0,53.0,0.42,90.29,24.57
2023-09-21,Johor,104,24,35,7,38,26,55,23,none,0,0,52.0,0.52,86.57,25.57
2023-09-22,Johor,0,0,0,0,0,0,0,0,none,0,0,51.0,0.0,85.57,25.6
2023-09-23,Johor,93,18,25,8,42,12,63,18,none,0,1,50.0,0.67,82.43,23.93
2023-09-24,Johor,240,72,56,12,100,42,163,35,none,0,1,49.0,0.68,70.0,24.1
2023-09-25,Johor,77,17,22,6,32,13,53,11,none,0,0,48.0,0.68,70.0,25.5
2023-09-26,Johor,60,17,16,4,23,9,43,8,none,0,0,47.0,0.7,66.0,24.6
2023-09-27,Johor,75,15,13,3,44,17,52,6,none,0,0,46.0,0.68,60.71,23.73
2023-09-28,Johor,72,15,13,1,43,27,31,14,none,0,0,45.0,0.42,61.29,23.2
2023-09-29,Johor,34,10,10,2,12,8,21,5,none,0,0,44.0,0.6,57.86,23.07
2023-09-30,Johor,144,26,45,6,67,44,72,28,none,0,1,43.0,0.5,60.86,22.43
2023-10-01,Johor,269,63,73,12,121,39,202,28,none,0,1,42.0,0.75,62.14,23.37
2023-10-02,Johor,61,18,17,2,24,9,48,4,none,0,0,41.0,0.77,67.71,24.47
2023-10-03,Johor,57,15,9,1,32,7,41,9,none,0,0,40.0,0.71,67.0,23.87
2023-10-04,Johor,112,24,30,7,51,23,73,16,none,0,0,39.0,0.65,66.71,22.43
2023-10-05,Johor,122,33,36,3,50,27,72,23,none,0,0,38.0,0.59,69.71,22.83
2023-10-06,Johor,26,7,5,0,14,5,21,0,none,0,0,37.0,0.78,75.57,22.87
2023-10-07,Johor,136,25,34,7,70,35,60,41,none,0,1,36.0,0.44,75.57,22.4
